M_AMI,M_SLR,AVG_pi,pi_initial,res_time
-0.07152950747485454,-0.0001629108707340363,0.19697832721563874,0.2685078346904933,85
-0.1477774329978261,9.355440725563887e-05,0.2220177613013011,0.3697951942991272,347
-0.542909575545136,-0.0004367060281547604,0.22314587306524955,0.7660554486103855,62
0.01724957465856375,0.015874236583118654,0.30341421069142405,0.2861646360328603,26
-0.052388986836692714,0.00015345850566564695,0.22920237187635148,0.2815913587130442,157
0.16792326508133415,0.0001527115860920968,0.21606208927391568,0.04813882419258154,187
-0.339473914280204,-0.0008561910563712129,0.18859065251301058,0.5280645667932146,75
0.16741805554661932,0.0003720853564796622,0.20529035497911213,0.03787229943249281,85
-0.01598808137623592,0.0003953002034106304,0.20203369119720269,0.2180217725734386,36
0.10541285570559464,-0.002003989129494805,0.2779743805393449,0.17256152483375028,35
0.22305492240846356,7.141999031690113e-05,0.23232768158761688,0.009272759179153328,48
0.014426211353415708,-0.0003868863047112604,0.23179878502712217,0.21737257367370647,168
0.2182919236623658,0.00231835014208575,0.24653435293079964,0.028242429268433837,118
0.1600875999578042,0.0005740220664030602,0.186315911135135,0.026228311177330783,105
0.06329437540486424,0.0339384175993673,0.22324162701132125,0.159947251606457,10
0.12704685702229396,0.03248918917623841,0.2136315985620132,0.08658474153971922,10
0.19483657506668034,0.0002584023239519265,0.21629157641313157,0.02145500134645122,255
0.04707727489579769,0.0020278719863477362,0.22475317790559568,0.177675903009798,63
0.14939571231409216,-0.0002349548663993671,0.19343320311747433,0.04403749080338217,30
0.14878679658600494,-0.00017895966143822257,0.2127897801434628,0.06400298355745787,122
0.024695024584176606,0.016637240090073363,0.2158522557998632,0.1911572312156866,13
-0.026237835024839257,2.7342067137315953e-05,0.20385548151141364,0.2300933165362529,195
0.1531105292306878,-9.93739089552032e-05,0.1835935370807241,0.030483007850036287,140
0.08473986925272628,6.529685624002942e-05,0.21674890002060657,0.1320090307678803,207
0.06036855294349333,-0.0011059876803196657,0.2357844989537217,0.17541594601022836,94
-0.5320821220435472,-0.00011039853236767907,0.2262158530481139,0.7582979750916611,69
0.07889967142505991,-0.001173086963923369,0.19123235375179695,0.11233268232673704,34
0.18886703789258802,-0.00022262527011961074,0.2260896056442066,0.0372225677516186,137
-0.3829070594775976,-0.002032827132528825,0.21702549874575416,0.5999325582233518,55
-0.07650394523161735,-0.0005331450673880945,0.21332901560873818,0.28983296084035554,142
-0.6581797719004696,-1.1377800215128947e-05,0.21401839899915662,0.8721981708996263,153
-0.46072248747653666,-0.00010207787380375496,0.22348328825398156,0.6842057757305182,442
-0.27395371203791996,-0.00293878649783574,0.219361472135895,0.493315184173815,43
-0.03981299598183405,0.006136898420696258,0.17471002539417924,0.21452302137601328,18
0.1174807615072633,-0.00075610701078249,0.21284979887986002,0.09536903737259672,32
0.14825845160528894,-0.00011588974981414358,0.2119785779296431,0.06372012632435417,105
-0.01703885910061781,0.0012545954444385492,0.2555931227503416,0.2726319818509594,73
0.07948031919065898,-0.00015977710510360054,0.23518518772346758,0.1557048685328086,74
0.11040826271473438,0.0002793221223029914,0.21662795288242545,0.10621969016769107,229
-0.5316043108216418,0.0011287929293545902,0.21299494000096378,0.7445992508226056,74
-0.4268330418625581,-0.00024338972380744854,0.203745593918639,0.6305786357811971,177
0.06498633150861002,0.00032077001936248466,0.2074064099411039,0.14242007843249388,139
0.08021852026128326,0.00012084906624896199,0.21771780336608967,0.1374992831048064,119
0.028754020022076276,-0.00019380419444827508,0.21358905107246218,0.1848350310503859,235
0.07633794934906453,-0.0003706663188922178,0.19185332213553286,0.11551537278646833,147
-0.3286133452634649,0.001739425543939265,0.15337759361353437,0.4819909388769993,45
0.07768190149612712,0.00033491215303098945,0.19515493067175232,0.1174730291756252,263
0.0768462621969914,-0.00011128448278320098,0.21994542314690654,0.14309916094991515,371
-0.06378182967381194,-1.2934055902943387e-05,0.1901840795711535,0.2539659092449654,340
0.04187195824277559,-0.008039771661701955,0.2510648645026472,0.2091929062598716,24
-0.0010597368509033533,-0.0005664745890640797,0.18957717172590371,0.19063690857680707,169
0.1811625351408111,-0.00079436658972739,0.20851666967920235,0.027354134538391257,72
0.015373117076564857,0.00019642910707692616,0.20585835217530152,0.19048523509873666,169
0.015805198287500516,0.0015006903908119419,0.22928920783944867,0.21348400955194816,76
0.17172162879642022,-3.4964541433866097e-06,0.22127800159410202,0.04955637279768179,339
0.1125313604927321,0.01870473274428216,0.25043863827830815,0.13790727778557604,10
-0.006367194699672202,-0.00016912983718569649,0.2199580064421711,0.2263252011418433,214
-0.3428502003659813,-0.004100387368128001,0.2225773201188293,0.5654275204848106,23
-0.06097491685094361,0.00023779495426344986,0.24800713550334116,0.3089820523542848,76
-0.08601580110653648,-0.0005368235346762404,0.21216905806868322,0.2981848591752197,122
0.1381807333967532,-0.013819570264558646,0.2000648866649403,0.061884153268187074,17
0.011864551872007523,0.000497119678627343,0.20657912966409123,0.1947145777920837,120
0.03298930473262873,-0.00025353908017602044,0.21829543006595273,0.185306125333324,300
-0.012781460828524327,0.0018690791506742318,0.22065250659074978,0.2334339674192741,57
0.1024778639522885,-0.0001605159705968337,0.21212129717664152,0.10964343322435302,238
-0.10185781813592604,-0.0014300502950596278,0.1805545131968198,0.28241233133274585,16
0.16037907653385408,0.016773643293398022,0.19672562150874776,0.03634654497489366,12
0.05723856736018346,3.225584052200835e-05,0.23165698632141793,0.17441841896123447,132
-0.14941834355681508,-3.3383853546380035e-05,0.22032458305061306,0.36974292660742814,30
